n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,mean_m2,sd_m2,sd_logloger,mean_alpha_max,sd_alpha_max,pool,q,replicate
280,0.9958995158386612,0.09046631611997971,0.008184154352320101,0.9914234511008705,0,1.8290707171075837e-07,0.009560304229996326,0.013600287944825089,139,3619560,3.840245775729647e-05,1.0781954887218046,0.3080175010243828,0.01932136620288062,1.9344662416728442,0.41283694697852297,arithmetic,19,1
280,0.996336145605646,0.08552359300032333,0.007314284959684954,0.9885304659498207,0,4.441133798493979e-07,0.010245211794680086,0.01456823594136575,99,3619560,2.73513907767795e-05,1.0733082706766917,0.3277313722206206,0.02080618641695874,1.9541304474331782,0.437849906108554,arithmetic,19,2
280,0.9891312386714332,0.14703534501716325,0.02161939268431623,0.9654889912954429,0,1.0569391433179476e-06,0.00804875600665547,0.011528339461029992,1836,3619560,0.0005072439744057288,5.090759794222398,1.1119922894997099,0.01647879340418071,3.6927739734093636,0.46743509632925895,loose,19,0
280,0.9896724478994711,0.14334729111032618,0.0205484458686686,0.9653609831029186,0,8.289327897426091e-07,0.00858788952598527,0.012293820877053333,1763,3619560,0.0004870757771662854,5.0344281757024145,1.1202673991185883,0.017829654966528424,3.687038580062599,0.5071984508340537,loose,19,1
280,0.9905529159792048,0.13713103458041265,0.01880492064509433,0.9659498207885304,0,6.615945602472806e-07,0.008772908821864812,0.012547518560624282,1776,3619560,0.0004906673739349534,5.035259200633162,1.0790452715508483,0.018117376713332994,3.614117150368028,0.5107852624322061,loose,19,2
280,0.9969558811728448,0.07796775612313345,0.006078970994876413,0.9919098822324629,0,2.4240599572067367e-07,0.010422949828767297,0.014811758399257786,39,3619560,1.0774790306004045e-05,1.0689354966363276,0.31692170024828875,0.0211274855939496,1.9426596607396496,0.4509202608362736,m2matched,19,0
280,0.9976542392187234,0.06845450291186428,0.004686018968910435,0.9927803379416282,0,2.3915877795932516e-06,0.011569543713461172,0.01642964164395571,46,3619560,1.2708727027594514e-05,1.0625247328848437,0.29452252586517885,0.02346034316268573,1.9910008332338038,0.5035720951310044,m2matched,19,1
280,0.9973587964579963,0.07263216317759687,0.005275431127857059,0.9910906298003073,0,4.6453220226005953e-07,0.011084376039940239,0.01574532902473559,65,3619560,1.7957983843340073e-05,1.074000791452315,0.31060107215546356,0.02250753662682393,1.978710704633595,0.483102637019026,m2matched,19,2
280,0.9962074374949972,0.08701000792811689,0.007570741479650962,0.9901433691756273,0,3.2659598891982e-07,0.010112326662536909,0.014381136963597144,83,3619560,2.293096398457271e-05,1.0102097348634744,0.3004536250474168,0.020438422636408604,1.8467966576580221,0.4188464286908361,marginal,19,0
280,0.9959557167675986,0.08984547978578833,0.008072210237938499,0.9897081413210446,0,1.5610262948939635e-07,0.010272635762052791,0.014612811181964986,124,3619560,3.4258307639602604e-05,1.0444796201028888,0.33657947167196295,0.020787490657854252,1.893499146338815,0.43808289388188004,marginal,19,1
280,0.9957875969084763,0.0916900313187948,0.00840706184324157,0.990552995391705,0,1.8479392938086647e-07,0.009998577514468483,0.014225364954453161,73,3619560,2.0168197239443468e-05,1.0126632370399682,0.3052359267807004,0.020294321970459165,1.847615999564703,0.417249413468422,marginal,19,2
280,0.9979596407298879,0.06384790892639373,0.004076555474273069,0.9921658986175115,0,2.2276290057021697e-07,0.009072558267793497,0.012879787565005062,2,3619560,5.525533490258485e-07,1.0747526711515631,0.19030577066200502,0.018389045552735385,2.0172197742475824,0.40624488759899763,sigshuffle,19,0
280,0.997897422684005,0.06481306813151266,0.004200733800620102,0.9920122887864823,0,1.759792482847189e-07,0.008716449551269847,0.012375012087789683,14,3619560,3.867873443180939e-06,1.0535813217253662,0.1879840204658054,0.01762448329134407,2.0147617485275404,0.38771324820756453,sigshuffle,19,1
280,0.9977072343082104,0.06767772609257357,0.004580274609061415,0.9922427035330261,0,1.0875197586912577e-07,0.008664483593306242,0.012303579343729998,3,3619560,8.288300235387726e-07,1.0537198258804907,0.17343785767249373,0.017560398562765752,1.983626756073679,0.3824132976016908,sigshuffle,19,2
280,0.9952083638769509,0.09777685037554784,0.009560312469362271,0.9881976446492575,0,8.762052328137315e-07,0.009323936108097834,0.013273247223366919,234,3619560,6.464874183602427e-05,1.0940443213296398,0.32363294155622846,0.01877974197197026,1.9188987454459128,0.39471195768323386,maxmatched,19,0
280,0.995313159652464,0.09670426165701489,0.0093517142226284,0.9876088069636457,0,1.2556221751225394e-07,0.010076037638938733,0.014342403840601991,205,3619560,5.6636718275149466e-05,1.0806094182825485,0.32656873110797296,0.02038050601795788,1.8992345396855788,0.4235260661149913,maxmatched,19,1
