n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,pool,q,replicate
698,0.9962321052916386,0.08672711448093305,0.007521592386188867,0.9870710741491369,0,4.788939045319296e-08,0.014841640644601141,0.02108374226206453,1298,56434696,2.3000035297434755e-05,control:marginal,13,1
698,0.996177103479475,0.0873566168257635,0.007631178503243266,0.9863516585612511,0,1.437508624357875e-07,0.01470755721248952,0.0208944195578667,1062,56434696,1.8818210697901165e-05,control:marginal,13,2
698,0.9961074823990345,0.08814694270737532,0.007769883508657306,0.9860063390790659,0,5.56358696779391e-07,0.01515126095753683,0.021526275590871568,1435,56434696,2.5427619916655527e-05,control:marginal,13,3
698,0.9964778894404512,0.08385592320345242,0.00703181585630331,0.9875027235018684,0,3.680330851185687e-08,0.014990345948662541,0.021289737616149853,838,56434696,1.4849021247496399e-05,control:marginal,13,4
698,0.9970904013000644,0.07622815513493966,0.005810731635276428,0.9832643379526665,0,2.793516584720379e-08,0.011717956428823933,0.016631968870580965,740,56434696,1.3112500862944314e-05,control:sigshuffle,13,0
698,0.9974828466807554,0.07090818413735471,0.005027970577657003,0.9839262002935215,0,6.55901390977931e-08,0.012373526626314413,0.017555547622777452,706,56434696,1.2510034607079305e-05,control:sigshuffle,13,1
698,0.9971458258527462,0.07549968201551914,0.005700201984444503,0.9830875672653575,0,4.033500089484221e-08,0.011834804789679782,0.01679688478677477,703,56434696,1.2456875819797098e-05,control:sigshuffle,13,2
698,0.9970983905607147,0.07612358071735713,0.005794799541231987,0.9823640407312552,0,1.94774711914647e-08,0.011614307621318631,0.016484722077395497,485,56434696,8.594003943956746e-06,control:sigshuffle,13,3
698,0.9972509467464006,0.0740982402855017,0.005490549213407947,0.9828943527931824,0,8.615340196804766e-08,0.012367513011757024,0.017551095881150263,506,56434696,8.966115454932194e-06,control:sigshuffle,13,4
698,0.9952124673511654,0.0977350747112066,0.009552144828805136,0.9849498259014278,0,1.4068715215032057e-07,0.014856955892062802,0.021127122291335707,2060,56434696,3.650236726711525e-05,control:maxmatched,13,0
698,0.9956028679500013,0.09367459276523207,0.008774929329732069,0.985496581748221,0,2.1451087706125804e-07,0.01482631455391138,0.021075281830297672,2214,56434696,3.9231185014268524e-05,control:maxmatched,13,1
698,0.995874927499739,0.09073659006921948,0.00823312877738958,0.9858049027144578,0,6.000500951675036e-07,0.014894624350917771,0.021166598704184796,1342,56434696,2.377969751090712e-05,control:maxmatched,13,2
698,0.9954355378576578,0.09543631368633032,0.00910808997003564,0.9852088155130666,0,1.2482315403516964e-08,0.01482709418488826,0.02107993294434007,1636,56434696,2.8989258664563374e-05,control:maxmatched,13,3
698,0.9956671177127019,0.09298919671489247,0.00864699070568097,0.985254035921448,0,2.2265086752071284e-07,0.014842746780069528,0.02109727839860022,1849,56434696,3.276353256160005e-05,control:maxmatched,13,4
