q,signature,orbits,orbits_deg5,orbits_deg6
11,20 16 13 12 12 12 10 8 6 6 6,2,0,2
11,20 16 13 13 13 12 8 8 8 6 4,1,1,0
11,20 16 14 12 11 9 9 8 8 8 6,2,1,1
11,20 16 14 14 10 10 9 8 8 6 6,1,0,1
11,20 16 15 13 10 10 10 8 8 8 3,1,0,1
11,20 16 15 14 12 11 10 8 7 6 2,1,1,0
11,20 16 15 14 13 10 10 9 6 4 4,1,0,1
11,20 16 16 14 11 11 8 8 8 7 2,1,0,1
11,20 17 13 12 10 10 10 9 9 7 4,3,0,3
11,20 18 14 14 13 10 8 8 8 6 2,1,0,1
11,20 19 17 14 13 10 8 6 6 4 4,1,0,1
11,20 20 14 12 12 10 9 8 6 6 4,1,0,1
11,21 10 10 10 10 10 10 10 10 10 10,3,0,3
11,21 14 13 12 12 10 10 8 8 7 6,3,1,2
11,21 15 12 12 12 11 10 10 7 6 5,2,0,2
11,21 15 14 13 10 10 9 8 8 8 5,1,0,1
11,21 16 12 12 12 11 10 10 7 6 4,1,0,1
11,21 18 16 14 14 10 10 6 6 4 2,1,0,1
11,22 14 12 11 10 10 10 9 9 8 6,1,0,1
11,22 14 12 12 12 11 11 9 8 6 4,1,0,1
11,22 14 14 14 12 10 8 8 8 7 4,1,0,1
11,22 16 15 13 12 9 9 9 8 4 4,1,0,1
11,22 17 16 12 10 10 8 8 8 6 4,1,0,1
13,13 13 13 13 13 13 13 13 13 13 13 13 13,7,7,0
13,14 14 14 14 14 14 14 14 14 14 14 14 1,1,1,0
13,15 15 15 15 14 14 13 13 13 12 12 9 9,54,0,54
13,16 16 16 14 14 14 13 13 13 11 11 11 7,8,8,0
13,16 16 16 15 15 14 14 13 12 12 11 8 7,19,0,19
13,16 16 16 15 15 14 14 14 13 13 10 10 3,6,0,6
13,16 16 16 15 15 15 13 11 11 11 10 10 10,8,8,0
13,16 16 16 16 13 13 13 13 12 12 12 12 5,9,0,9
13,16 16 16 16 15 14 14 14 13 13 10 10 2,2,0,2
13,16 16 16 16 15 15 14 14 11 11 11 7 7,4,0,4
13,17 15 15 15 15 12 12 12 12 11 11 11 11,26,0,26
13,17 16 15 15 15 14 13 13 13 12 11 8 7,8,8,0
13,17 16 16 15 14 13 13 13 12 11 10 10 9,18,18,0
13,17 16 16 15 14 14 13 13 12 12 11 10 6,59,0,59
13,17 16 16 15 15 13 13 13 13 12 10 9 7,18,0,18
13,17 16 16 15 15 15 14 13 12 12 9 9 6,8,0,8
13,17 16 16 15 15 15 15 14 14 9 9 7 7,2,0,2
13,17 16 16 16 15 14 13 13 13 11 11 8 6,6,0,6
13,17 16 16 16 15 14 14 14 13 12 9 8 5,2,2,0
13,17 16 16 16 15 15 15 12 11 10 10 9 7,10,0,10
13,17 16 16 16 15 15 15 14 12 10 9 8 6,3,3,0
13,17 16 16 16 16 15 13 12 12 11 9 9 7,10,0,10
13,17 17 15 15 14 14 14 14 12 10 10 9 8,14,0,14
13,17 17 15 15 15 14 14 14 12 12 12 8 4,2,2,0
13,17 17 16 15 13 13 12 12 12 12 11 10 9,48,0,48
13,17 17 16 15 14 14 14 13 12 11 11 10 5,4,4,0
13,17 17 16 15 15 14 13 13 11 10 10 9 9,18,0,18
13,17 17 16 16 14 14 13 12 12 10 10 9 9,11,11,0
13,17 17 16 16 14 14 14 14 11 11 9 9 7,5,0,5
13,17 17 16 16 14 14 14 14 13 11 10 8 5,3,0,3
13,17 17 16 16 15 15 14 13 13 12 9 8 4,4,0,4
13,17 17 16 16 15 15 14 14 11 10 10 8 6,1,0,1
13,17 17 16 16 15 15 14 14 11 11 9 7 7,3,3,0
13,17 17 16 16 15 15 15 14 14 11 11 4 4,2,0,2
13,17 17 16 16 16 14 12 12 12 11 11 11 4,2,2,0
13,17 17 16 16 16 14 14 13 12 11 9 8 6,4,0,4
13,17 17 16 16 16 15 14 13 13 10 10 7 5,3,0,3
13,17 17 16 16 16 16 14 12 12 11 10 6 6,1,0,1
13,17 17 16 16 16 16 15 15 10 10 8 8 5,2,0,2
13,17 17 17 15 15 14 14 14 12 12 12 8 2,1,1,0
13,17 17 17 16 15 14 13 12 11 10 10 10 7,5,5,0
13,17 17 17 16 15 14 13 13 13 11 9 8 6,6,6,0
13,17 17 17 16 15 15 15 11 11 11 8 8 8,1,1,0
13,17 17 17 17 14 14 12 12 11 11 11 8 8,5,0,5
13,17 17 17 17 15 15 13 13 10 10 9 8 8,2,0,2
13,17 17 17 17 16 14 13 12 11 10 9 9 7,7,0,7
13,18 16 15 15 14 13 13 12 12 11 11 10 9,117,0,117
13,18 16 15 15 14 14 14 13 12 11 11 8 8,34,0,34
13,18 16 15 15 15 14 13 12 12 12 10 10 7,25,0,25
13,18 16 15 15 15 14 14 14 13 11 9 8 7,8,8,0
13,18 16 16 15 14 14 14 14 12 11 10 9 6,12,0,12
13,18 16 16 15 15 14 14 13 13 10 9 9 7,5,0,5
13,18 16 16 15 15 15 13 13 12 11 10 8 7,8,0,8
13,18 16 16 15 15 15 14 14 12 11 10 7 6,2,2,0
13,18 16 16 16 13 13 13 13 12 12 12 12 3,5,0,5
13,18 16 16 16 15 14 13 12 12 12 10 8 7,7,7,0
13,18 16 16 16 15 14 14 14 13 12 9 8 4,2,2,0
13,18 16 16 16 16 15 14 14 12 10 9 8 5,3,0,3
13,18 17 15 15 14 13 13 13 13 11 10 9 8,18,0,18
13,18 17 15 15 14 14 14 13 13 11 10 9 6,4,4,0
13,18 17 15 15 14 14 14 14 13 12 11 6 6,7,0,7
13,18 17 16 14 14 13 13 13 12 12 10 9 8,10,10,0
13,18 17 16 14 14 13 13 13 13 12 11 10 5,20,0,20
13,18 17 16 15 14 14 12 12 12 11 10 9 9,27,0,27
13,18 17 16 15 14 14 14 13 12 11 11 10 4,5,5,0
13,18 17 16 15 14 14 14 14 13 12 8 7 7,4,0,4
13,18 17 16 15 15 13 13 13 12 11 10 10 6,6,0,6
