q,signature,pencils,distinct_isogeny_multisets
13,17 16 16 16 16 15 13 12 12 11 9 9 7,10,10
13,17 17 15 15 14 14 14 14 12 10 10 9 8,14,14
13,17 17 15 15 15 14 14 14 12 12 12 8 4,2,2
13,17 17 16 15 13 13 12 12 12 12 11 10 9,48,48
13,17 17 16 15 14 14 14 13 12 11 11 10 5,4,4
13,17 17 16 15 15 14 13 13 11 10 10 9 9,18,18
13,17 17 16 16 14 14 13 12 12 10 10 9 9,11,11
13,17 17 16 16 14 14 14 14 11 11 9 9 7,5,5
13,17 17 16 16 14 14 14 14 13 11 10 8 5,3,3
13,17 17 16 16 15 15 14 13 13 12 9 8 4,4,4
13,17 17 16 16 15 15 14 14 11 11 9 7 7,3,3
13,17 17 16 16 15 15 15 14 14 11 11 4 4,2,2
13,17 17 16 16 16 14 12 12 12 11 11 11 4,2,2
13,17 17 16 16 16 14 14 13 12 11 9 8 6,4,4
13,17 17 16 16 16 15 14 13 13 10 10 7 5,3,3
13,17 17 16 16 16 16 15 15 10 10 8 8 5,2,2
13,17 17 17 16 15 14 13 12 11 10 10 10 7,5,5
13,17 17 17 16 15 14 13 13 13 11 9 8 6,6,6
13,17 17 17 17 14 14 12 12 11 11 11 8 8,5,5
13,17 17 17 17 15 15 13 13 10 10 9 8 8,2,2
13,17 17 17 17 16 14 13 12 11 10 9 9 7,7,7
13,18 16 15 15 14 13 13 12 12 11 11 10 9,117,117
13,18 16 15 15 14 14 14 13 12 11 11 8 8,34,34
13,18 16 15 15 15 14 13 12 12 12 10 10 7,25,25
13,18 16 15 15 15 14 14 14 13 11 9 8 7,8,8
13,18 16 16 15 14 14 14 14 12 11 10 9 6,12,12
13,18 16 16 15 15 14 14 13 13 10 9 9 7,5,5
13,18 16 16 15 15 15 13 13 12 11 10 8 7,8,8
13,18 16 16 15 15 15 14 14 12 11 10 7 6,2,2
13,18 16 16 16 13 13 13 13 12 12 12 12 3,5,5
13,18 16 16 16 15 14 13 12 12 12 10 8 7,7,7
13,18 16 16 16 15 14 14 14 13 12 9 8 4,2,2
13,18 16 16 16 16 15 14 14 12 10 9 8 5,3,3
13,18 17 15 15 14 13 13 13 13 11 10 9 8,18,18
13,18 17 15 15 14 14 14 13 13 11 10 9 6,4,4
13,18 17 15 15 14 14 14 14 13 12 11 6 6,7,7
13,18 17 16 14 14 13 13 13 12 12 10 9 8,10,10
13,18 17 16 14 14 13 13 13 13 12 11 10 5,20,20
13,18 17 16 15 14 14 12 12 12 11 10 9 9,27,27
13,18 17 16 15 14 14 14 13 12 11 11 10 4,5,5
13,18 17 16 15 14 14 14 14 13 12 8 7 7,4,4
13,18 17 16 15 15 13 13 13 12 11 10 10 6,6,6
13,18 17 16 15 15 14 14 13 13 12 11 7 4,3,3
13,18 17 16 15 15 15 12 12 12 11 10 9 7,3,3
13,18 17 16 15 15 15 14 11 11 10 10 9 8,10,10
13,18 17 16 16 14 14 14 13 12 11 11 7 6,4,4
13,18 17 16 16 14 14 14 14 13 11 10 8 4,5,5
13,18 17 16 16 15 14 13 12 11 11 9 9 8,27,27
13,18 17 16 16 15 14 14 12 11 11 10 10 5,9,9
13,18 17 16 16 15 14 14 14 13 12 9 8 3,2,2
13,18 17 16 16 15 15 14 12 12 10 9 8 7,2,2
13,18 17 16 16 15 15 14 14 13 12 8 6 5,3,3
13,18 17 16 16 16 15 12 12 11 11 10 9 6,4,4
13,18 17 16 16 16 15 14 11 11 10 9 8 8,2,2
13,18 17 16 16 16 16 13 11 10 10 9 9 8,6,6
13,18 17 16 16 16 16 15 14 10 9 9 7 6,2,2
13,18 17 17 15 14 13 12 11 11 11 11 10 9,16,16
13,18 17 17 15 14 14 13 13 12 10 9 9 8,15,15
13,18 17 17 15 15 13 13 12 12 11 10 8 8,7,7
13,18 17 17 15 15 14 12 12 11 11 10 10 7,13,13
13,18 17 17 15 15 15 15 12 12 10 10 8 5,5,5
13,18 17 17 16 14 13 12 12 12 11 11 9 7,11,11
13,18 17 17 16 15 14 12 12 12 12 10 7 7,4,4
13,18 17 17 16 15 14 13 12 12 10 10 9 6,20,20
13,18 17 17 16 15 14 14 14 12 10 8 8 6,2,2
13,18 17 17 16 16 15 12 11 10 10 10 10 7,4,4
13,18 17 17 16 16 15 13 12 12 11 8 7 7,4,4
13,18 17 17 16 16 16 13 12 11 11 10 8 4,2,2
13,18 17 17 17 16 14 13 13 12 10 10 8 4,6,6
13,18 17 17 17 17 14 12 11 11 10 10 9 6,6,6
13,18 18 14 14 14 14 13 13 12 12 9 9 9,11,11
13,18 18 15 14 14 13 13 13 13 12 12 7 7,5,5
13,18 18 15 15 14 14 13 13 12 12 9 9 7,5,5
13,18 18 16 14 14 13 13 13 13 12 11 10 4,3,3
13,18 18 16 15 14 13 12 12 12 12 11 10 6,18,18
13,18 18 16 15 14 14 13 12 11 11 11 9 7,9,9
13,18 18 16 15 15 14 13 12 10 10 10 10 8,18,18
13,18 18 16 15 15 14 13 13 12 12 8 8 7,7,7
13,18 18 16 15 15 14 14 12 12 11 10 7 7,4,4
13,18 18 16 15 15 14 14 13 11 10 10 9 6,9,9
13,18 18 16 16 13 12 12 11 11 11 11 10 10,13,13
13,18 18 16 16 14 13 13 12 12 10 10 9 8,12,12
13,18 18 16 16 14 14 13 13 12 11 9 9 6,5,5
13,18 18 16 16 15 13 13 12 12 11 11 8 6,4,4
13,18 18 16 16 15 14 14 12 11 11 10 10 4,3,3
13,18 18 16 16 15 14 14 12 12 11 11 6 6,3,3
13,18 18 16 16 16 14 14 13 11 10 9 8 6,2,2
13,18 18 16 16 16 15 14 14 12 10 9 8 3,3,3
13,18 18 16 16 16 16 14 13 12 11 8 7 4,4,4
13,18 18 16 16 16 16 15 13 12 10 7 6 6,2,2
13,18 18 17 15 14 13 13 13 12 12 10 8 6,4,4
