family,genus,q,m,mu,mu_abs,rate,scaled_deviation,deficit,moment2,moment4,n_over_weil
H2b,2,32003,649,3.6278502419988037,3.6278502419988037,0.9980683937610557,3.5846174287898056,0.3721497580011963,1.0184670187169953,3.136597965157647,0
H2b,2,64007,973,3.8459098867335713,3.8459098867335713,0.9986385758205188,3.8117745492736868,0.15409011326642874,1.0000156232912025,3.0168017913085357,0
H2b,2,128021,1329,3.7143632462576655,3.7143632462576655,0.9991225698847543,3.6919737457367967,0.28563675374233455,1.0012419837370432,3.027467058530675,0
H2b,2,256019,1819,3.594981009880755,3.855859235996346,0.9994318000837576,3.5802346707983577,0.4050189901192449,1.000394501970557,2.9987549895473857,0
H2b,2,512009,2674,3.7369957628515373,3.8124623938141338,0.9996039196431402,3.7257949565329107,0.26300423714846266,1.0012128693050317,2.997230488257239,0
H2b,2,1000003,3778,3.777994333012751,3.777994333012751,0.99972712986621,3.7698466876947943,0.22200566698724922,1.0003889988330035,2.997656340702064,0
H2c,2,101,23,2.288585537482975,2.388089256503974,0.957437953370256,1.9740867635131556,1.7114144625170251,1.00990099009901,2.766280921788875,0
H2c,2,211,43,2.9602420805325114,2.9602420805325114,0.9665044361422783,2.6039528331101556,1.0397579194674886,0.9289099526066351,2.7442100649877035,0
H2c,2,401,66,3.295882718296887,3.295882718296887,0.9752099466242854,2.975524921060098,0.7041172817031129,1.0473815461346634,3.224363950665249,0
H2c,2,1009,90,2.833328475092514,3.1166613226017654,0.9877979104426717,2.6808941912852124,1.166671524907486,1.0505450941526264,3.028509499910512,0
H2c,2,2003,136,3.0387742227475125,3.083462078964388,0.9914330241766895,2.9148674362748994,0.9612257772524875,1.0114827758362457,3.064377163625558,0
H2c,2,4001,195,3.082835388322271,3.4464518700218205,0.9942953721582598,2.992893836580589,0.917164611677729,0.9712571857035741,2.839974043833867,0
H2c,2,8009,318,3.553349886748438,3.553349886748438,0.9956866929423841,3.4695895884643604,0.4466501132515619,1.0106130603071544,3.000268059801483,0
H2c,2,16001,446,3.525829410640203,3.525829410640203,0.9971680925749166,3.4677374555693508,0.47417058935979695,1.0040622461096183,3.040617072371523,0
H2c,2,32003,664,3.711698860843152,3.7340584925349782,0.9980242921674096,3.6664598550741614,0.28830113915684796,0.9977189638471393,3.0099801848484584,0
H2c,2,64007,901,3.56132046037713,3.56132046037713,0.9987384914946282,3.532026305204137,0.43867953962287,0.9938912931398128,2.9830505397491387,0
H2c,2,128021,1269,3.5466719033114953,3.644491853363428,0.9991619552394442,3.5262514928133317,0.4533280966885047,1.0037728185219612,3.029676289015809,0
H2c,2,256019,1920,3.794592379863139,3.794592379863139,0.9994003871968874,3.778167657882387,0.2054076201368611,0.9984493338385042,3.0052136547668837,0
H2c,2,512009,2671,3.7328031722425044,3.7328031722425044,0.9996043626821233,3.7216274375433223,0.26719682775749565,0.9975840268432782,2.9836460304924475,0
H2c,2,1000003,3796,3.7959943060128114,3.7959943060128114,0.9997258326122681,3.787768944001028,0.2040056939871886,1.0013509959470122,3.0035788884780223,0
H2d,2,101,31,3.084615289650966,3.084615289650966,0.9451787293465874,2.542686579367736,0.9153847103490338,0.9108910891089109,2.849532321137221,0
H2d,2,211,44,3.0290849196146628,3.0290849196146628,0.9658190934001237,2.6572315354083265,0.9709150803853372,0.9478672985781991,2.821011565871625,0
H2d,2,401,50,2.4968808471946113,2.846444165801857,0.9807728806081337,2.307811606680206,1.5031191528053887,1.032418952618454,3.049987452932212,0
H2d,2,1009,83,2.6129584825853183,2.9592541850966256,0.9887001460333265,2.4826659990733013,1.3870415174146817,0.9712586719524281,2.6869748961008257,0
H2d,2,2003,146,3.2622135038318887,3.284557431940326,0.9908303426324088,3.1199265894813197,0.7377864961681113,1.0214677983025462,3.148167995511163,0
H2d,2,4001,214,3.383214221030595,3.699402465986725,0.9937571610306991,3.2752626099945816,0.6167857789694051,0.9742564358910273,2.8524724132131927,0
H2d,2,8009,289,3.2293022555669766,3.519827718005528,0.9960716404173316,3.159940928319609,0.7706977444330234,1.0131102509676613,3.0382837616159883,0
H2d,2,16001,432,3.4151531511133806,3.430964045331498,0.9972555723180819,3.3606164461425747,0.5848468488866194,0.981563652271733,2.8958225941629157,0
H2d,2,32003,615,3.4377933726182808,3.6949291370742823,0.99816844687566,3.398941833430809,0.5622066273817192,1.00446833109396,3.004929226353026,0
H2d,2,64007,916,3.6206099242013887,3.6206099242013887,0.9987176649431675,3.590337388556161,0.3793900757986113,0.9976408830284188,2.9734368126712645,0
H2d,2,128021,1268,3.5438770475957257,3.616543296205733,0.9991626118431776,3.5234886930155045,0.45612295240427425,0.9991954444973872,3.0091677716563026,0
H2d,2,256019,1910,3.7748288778846852,3.7748288778846852,0.9994034967469614,3.758574344565662,0.22517112211531476,1.000558552294947,2.9997418076900795,0
H2d,2,512009,2613,3.651746420467864,3.7663438971147696,0.9996129286872918,3.6410499024503493,0.3482535795321362,1.0006699100992364,3.0110329163717053,0
H2d,2,1000003,3765,3.7649943525127068,3.7649943525127068,0.999728066788396,3.756902607116032,0.23500564748729325,1.0005809982570053,3.0077246327778853,0
H3,3,101,20,1.9900743804199783,1.9900743804199783,0.962327372924707,1.7473087021179825,4.009925619580022,0.9900990099009901,2.46244544070131,0
H3,3,211,39,2.6848707242039054,3.097927758696814,0.9692829874358968,2.387947616906225,3.3151292757960946,1.3270142180094786,4.820050306948178,0
H3,3,401,59,2.9463193996896417,2.9463193996896417,0.9776121364278384,2.687192519461049,3.0536806003103583,1.0224438902743143,3.134429056307434,0
H3,3,1009,122,3.840734155125408,3.840734155125408,0.983765499990541,3.5668462003411245,2.159265844874592,0.9930624380574826,2.8802180110461397,0
H3,3,2003,154,3.440964928699389,3.440964928699389,0.9903507373130657,3.283109719263659,2.559035071300611,0.9965052421367948,2.7910560995037472,0
H3,3,4001,215,3.3990236332784014,3.3990236332784014,0.9937289174738562,3.290080398208541,2.6009763667215986,1.0247438140464884,3.1227023504941465,0
H3,3,8009,329,3.6762645054724405,3.7656569554535335,0.9955411065639416,3.586698103142106,2.3237354945275595,0.9991259832688226,2.9600355275769834,0
H3,3,16001,449,3.549545751967379,3.683938352821378,0.9971493585993311,3.4906776506668744,2.450454248032621,0.9911880507468284,2.7480539227582974,0
H3,3,32003,761,4.253919929369937,4.253919929369937,0.9977396835918482,4.194627987777136,1.7460800706300628,0.9999687529294129,3.0345837213029845,0
H3,3,64007,1088,4.300462442719553,4.300462442719553,0.9984792590514313,4.257836559066859,1.699537557280447,0.9999843767087975,3.004389286617216,0
H3,3,128021,1387,3.876464877772296,4.055335643581544,0.9990845176866343,3.852086458972535,2.123535122227704,1.0026480030619978,3.0368729396213965,0
H3,3,256019,2267,4.480385898515488,4.480385898515488,0.9992925723810149,4.457510140657232,1.5196141014845121,0.9999726582792683,2.994967625461235,0
H3,3,512009,3129,4.372872005221564,4.378462126033607,0.9995367598190881,4.357544876470731,1.6271279947784363,0.9999863283653218,2.993350822060676,0
H3,3,1000003,4663,4.662993005515737,4.662993005515737,0.9996633797257242,4.650588939009634,1.3370069944842626,0.999999000003,2.993765960355294,0
