A_inf,a,b,block,chi,hi,known_spread,lambda_c,"lc_[-14,14]","lc_[-20,6]","lc_[-24,24]","lc_[-6,20]","lc_[-8,8]",lo,max_interior,max_spread,median_spread,min_interior,n_all_interior,n_cycles,n_same_bucket,n_sig,osc,prior,s_max,s_min,same_bucket,spread,triple,width
0.005389322035239508,"(6, 3, 3)","(7, 2, 1)",census,nan,,,,,,,,,,True,,,False,,,,,0.17584210366171693,,-0.5171235991601634,7.734700000000004,,,,
0.002125139351692673,"(7, 2, 1)","(6, 5, 1)",census,nan,,,,,,,,,,False,,,True,,,,,0.16081318088785257,,7.734700000000004,-0.20112454585622713,,,,
0.00829953217151344,"(6, 5, 1)","(6, 3, 3)",census,-0.2894276371469628,,,,,,,,,,True,,,True,,,,,0.06614031291937678,,1.0825302505381633,-1.0538600617567102,,,,
,,,known_support,,8,,230.40816046040067,,,,,,-8,,,,,,,,,,,,,,,,16
,,,known_support,,12,,286.70847617264997,,,,,,-12,,,,,,,,,,,,,,,,24
,,,known_support,,16,,323.07065961213203,,,,,,-16,,,,,,,,,,,,,,,,32
,,,known_support,,24,,371.18555448217694,,,,,,-24,,,,,,,,,,,,,,,,48
,,,known_support,,32,,403.7905109649024,,,,,,-32,,,,,,,,,,,,,,,,64
,,,known_support,,20,,349.9181628643148,,,,,,-6,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.49442846031195,,,,,,-20,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.4944310847797,,,,,,-6,,,,,,,,,,,,,,,,12
,,,known_support,,4,,100.2973956329158,,,,,,-4,,,,,,,,,,,,,,,,8
,,,known_support,,6,,184.4944284603153,,,,,,-40,,,,,,,,,,,,,,,,46
,,,known_support,,6,,184.49442881542743,,,,,,-8,,,,,,,,,,,,,,,,14
,,,known_support,,12,,286.70847617264957,,,,,,-40,,,,,,,,,,,,,,,,52
,,,known_support,,12,,286.70847617269425,,,,,,-8,,,,,,,,,,,,,,,,20
,,,known_support,,20,,349.9181628643142,,,,,,-40,,,,,,,,,,,,,,,,60
,,,known_support,,20,,349.918162864314,,,,,,-8,,,,,,,,,,,,,,,,28
,,,known_support,,,,85.79786540601465,,,,,,,,,,,,,,,,gaussian sd=2,,,,,,
,,,known_support,,,,155.11012921595756,,,,,,,,,,,,,,,,gaussian sd=4,,,,,,
,,,known_support,,,,263.1690955249817,,,,,,,,,,,,,,,,gaussian sd=8,,,,,,
,,,known_support,,,,110.53799020660993,,,,,,,,,,,,,,,,logistic sc=2,,,,,,
,,,known_support,,,,231.5968644792936,,,,,,,,,,,,,,,,logistic sc=4,,,,,,
,,,f11_census,,,,,,,,,,,,,,,73,132,73,296,,,,,,,,
,,,f11_lambda_c,,,,,4743.818971482467,,6445.724721135322,5953.010351764199,2515.596895810935,,,,,,,,,,,,,,False,nan,"(157, 205, 232)",
,,,f11_lambda_c,,,,,4743.818971482467,,6445.724721135322,5953.010351764199,2672.071676519731,,,,,,,,,,,,,,False,nan,"(157, 205, 233)",
,,,f11_lambda_c,,,,,722.377374970654,,953.8692055704289,882.3712752312316,366.52788783368544,,,,,,,,,,,,,,False,nan,"(157, 226, 206)",
,,,f11_lambda_c,,,,,2495.6220930860923,,3267.901804265331,3035.90510323301,1132.9812874917413,,,,,,,,,,,,,,False,nan,"(157, 227, 206)",
,,,f11_lambda_c,,,,,1844.6815733748326,1844.6815811332226,1844.681581567585,1844.658296823635,1844.678429234885,,,,,,,,,,,,,,True,1.00001262279523,"(172, 173, 184)",
,,,f11_lambda_c,,,,,1804.3299683092919,1804.32997754696,1804.3299780647396,1804.3022566228599,1804.326224678006,,,,,,,,,,,,,,True,1.0000153640787057,"(172, 173, 190)",
,,,f11_lambda_c,,,,,762.7062753102799,762.7071089509293,762.7071878840071,760.1886126409762,762.3669893285207,,,,,,,,,,,,,,True,1.0033130925682787,"(172, 173, 191)",
,,,f11_lambda_c,,,,,1529.3375608353088,1529.3375924582358,1529.3375942507273,1529.2427356395017,1529.32474425964,,,,,,,,,,,,,,True,1.00006202979358,"(172, 173, 194)",
,,,f11_lambda_c,,,,,1716.4664105675442,1716.466627243303,1716.4666484747759,1715.8139024398147,1716.3782423190219,,,,,,,,,,,,,,True,1.0003804293892438,"(172, 177, 184)",
,,,f11_lambda_c,,,,,1943.669611984224,1943.669711629523,1943.6697214143446,1943.369754565958,1943.6290693560836,,,,,,,,,,,,,,True,1.0001543539759647,"(172, 177, 190)",
,,,f11_lambda_c,,,,,2299.9605547211986,2299.9605876714313,2299.9605909739116,2299.861404642804,2299.9471467440326,,,,,,,,,,,,,,True,1.000043127090575,"(172, 177, 194)",
,,,f11_lambda_c,,,,,688.988099104162,688.9896770195503,688.990485332898,684.0396613779941,688.3212931231927,,,,,,,,,,,,,,True,1.007237627047722,"(172, 183, 191)",
,,,f11_lambda_c,,,,,1357.1534522178624,1357.1568474307455,1357.157953880337,1346.666120268471,1355.7420257096662,,,,,,,,,,,,,,True,1.007790968714483,"(173, 191, 181)",
,,,f11_lambda_c,,,,,1529.3375608353088,1529.3375924582358,1529.3375942507273,1529.2427356395017,1529.32474425964,,,,,,,,,,,,,,True,1.00006202979358,"(173, 194, 181)",
,,,f11_lambda_c,,,,,783.5337746474803,783.5347748016293,783.5348865874815,780.5061171657146,783.1260362761724,,,,,,,,,,,,,,True,1.0038805197744836,"(177, 183, 191)",
,,,f11_lambda_c,,,,,1716.4664105675442,1716.466627243303,1716.4666484747759,1715.8139024398147,1716.3782423190219,,,,,,,,,,,,,,True,1.0003804293892438,"(177, 184, 191)",
,,,f11_lambda_c,,,,,1943.669611984224,1943.669711629523,1943.6697214143446,1943.369754565958,1943.6290693560836,,,,,,,,,,,,,,True,1.0001543539759647,"(177, 190, 191)",
,,,f11_lambda_c,,,,,2299.9605547211986,2299.9605876714313,2299.9605909739116,2299.861404642804,2299.9471467440326,,,,,,,,,,,,,,True,1.000043127090575,"(177, 194, 181)",
,,,f11_lambda_c,,,,,2299.9605547211986,2299.9605876714313,2299.9605909739116,2299.861404642804,2299.9471467440326,,,,,,,,,,,,,,True,1.000043127090575,"(177, 194, 191)",
,,,f11_lambda_c,,,,,7693.144190278082,7693.144191348897,7693.144191591189,7693.140925983652,7693.1437494185275,,,,,,,,,,,,,,True,1.0000004244829996,"(180, 186, 195)",
