n,k_max,c_n,candidate_curve_count,candidate_curve_ids,minimum_cover_curve_id,color
88,55,0.625000000000000,7,e_p1_1__d_p33_1;e_p1_2__d_m11_1;e_p2_3__d_p11_3;e_p5_8__d_p0_1;e_p12_19__d_p11_19;e_p41_65__d_p33_65;e_p53_84__d_p11_21,e_p5_8__d_p0_1,#c084fc
89,56,0.629213483146067,7,e_p1_1__d_p33_1;e_p1_2__d_m23_2;e_p2_3__d_p10_3;e_p5_8__d_m3_8;e_p12_19__d_p4_19;e_p41_65__d_p9_65;e_p53_84__d_p13_84,e_p5_8__d_m3_8,#818cf8
90,56,0.622222222222222,7,e_p1_1__d_p34_1;e_p1_2__d_m11_1;e_p2_3__d_p4_1;e_p5_8__d_p1_4;e_p12_19__d_p16_19;e_p41_65__d_p10_13;e_p53_84__d_p11_14,e_p5_8__d_p1_4,#f472b6
91,57,0.626373626373626,7,e_p1_1__d_p34_1;e_p1_2__d_m23_2;e_p2_3__d_p11_3;e_p5_8__d_m1_8;e_p12_19__d_p9_19;e_p41_65__d_p2_5;e_p53_84__d_p5_12,e_p5_8__d_m1_8,#fb923c
92,58,0.630434782608696,7,e_p1_1__d_p34_1;e_p1_2__d_m12_1;e_p2_3__d_p10_3;e_p5_8__d_m1_2;e_p12_19__d_p2_19;e_p41_65__d_p2_65;e_p53_84__d_p1_21,e_p5_8__d_m1_2,#f87171
93,58,0.623655913978495,7,e_p1_1__d_p35_1;e_p1_2__d_m23_2;e_p2_3__d_p4_1;e_p5_8__d_p1_8;e_p12_19__d_p14_19;e_p41_65__d_p43_65;e_p53_84__d_p19_28,e_p5_8__d_p1_8,#fb7185
94,59,0.627659574468085,7,e_p1_1__d_p35_1;e_p1_2__d_m12_1;e_p2_3__d_p11_3;e_p5_8__d_m1_4;e_p12_19__d_p7_19;e_p41_65__d_p19_65;e_p53_84__d_p13_42,e_p5_8__d_m1_4,#4ade80
95,59,0.621052631578947,7,e_p1_1__d_p36_1;e_p1_2__d_m23_2;e_p2_3__d_p13_3;e_p5_8__d_p3_8;e_p12_19__d_p1_1;e_p41_65__d_p12_13;e_p53_84__d_p79_84,e_p5_8__d_p3_8,#2dd4bf
96,60,0.625000000000000,7,e_p1_1__d_p36_1;e_p1_2__d_m12_1;e_p2_3__d_p4_1;e_p5_8__d_p0_1;e_p12_19__d_p12_19;e_p41_65__d_p36_65;e_p53_84__d_p4_7,e_p5_8__d_p0_1,#c084fc
97,61,0.628865979381443,7,e_p1_1__d_p36_1;e_p1_2__d_m25_2;e_p2_3__d_p11_3;e_p5_8__d_m3_8;e_p12_19__d_p5_19;e_p41_65__d_p12_65;e_p53_84__d_p17_84,e_p5_8__d_m3_8,#818cf8
98,61,0.622448979591837,7,e_p1_1__d_p37_1;e_p1_2__d_m12_1;e_p2_3__d_p13_3;e_p5_8__d_p1_4;e_p12_19__d_p17_19;e_p41_65__d_p53_65;e_p53_84__d_p5_6,e_p5_8__d_p1_4,#f472b6
99,62,0.626262626262626,7,e_p1_1__d_p37_1;e_p1_2__d_m25_2;e_p2_3__d_p4_1;e_p5_8__d_m1_8;e_p12_19__d_p10_19;e_p41_65__d_p29_65;e_p53_84__d_p13_28,e_p5_8__d_m1_8,#fb923c
100,63,0.630000000000000,7,e_p1_1__d_p37_1;e_p1_2__d_m13_1;e_p2_3__d_p11_3;e_p5_8__d_m1_2;e_p12_19__d_p3_19;e_p41_65__d_p1_13;e_p53_84__d_p2_21,e_p5_8__d_m1_2,#f87171
