q,implementer,implemented,rate,contact_beta,closed_form
101,L,L,1.000000000000000,0,
101,L,A,0.997869761220063,inf,0.997869761220063
101,L,X,0.870234805814761,inf,0.870234805814761
101,A,S,0.871277237119850,inf,0.871277237119850
101,A,L,0.999244905925351,0.2682,
101,A,A,1.000000000000000,0,
101,A,X,0.872092571229689,inf,0.872092571229689
101,X,S,0.915508832762737,5.7992,
101,X,L,0.999875975615603,0.4421,
101,X,A,0.999859860444427,1.4818,
101,X,X,1.000000000000000,0,
121,S,S,1.000000000000000,0,
121,S,L,0.857183779209814,0,0.857183779209814
121,S,A,0.857183779209814,0,0.857183779209814
121,S,X,0.857183779209814,0,0.857183779209814
121,L,S,0.873719248579400,inf,0.873719248579400
121,L,L,1.000000000000000,0,
121,L,A,0.998286747901419,inf,0.998286747901419
121,L,X,0.874378870129762,inf,0.874378870129762
121,A,S,0.875218718886249,inf,0.875218718886249
121,A,L,0.999375711673059,0.2642,
121,A,A,1.000000000000000,0,
121,A,X,0.875879472474082,inf,0.875879472474082
121,X,S,0.916830749061723,5.9844,
121,X,L,0.999900345593404,0.4422,
121,X,A,0.999886504984476,1.4814,
121,X,X,1.000000000000000,0,
256,S,S,1.000000000000000,0,
256,S,L,0.875000000000000,0,0.875000000000000
256,S,A,0.875000000000000,0,0.875000000000000
256,S,X,0.875000000000000,0,0.875000000000000
256,L,S,0.888888888888889,inf,0.888888888888889
256,L,L,1.000000000000000,0,
256,L,A,0.999297425309004,inf,0.999297425309004
256,L,X,0.889167546001461,inf,0.889167546001461
256,A,S,0.889513838799320,inf,0.889513838799320
256,A,L,0.999717187848714,0.2488,
256,A,A,1.000000000000000,0,
256,A,X,0.889792691826971,inf,0.889792691826971
256,X,S,0.922064915162404,6.7759,
256,X,L,0.999959230835465,0.4425,
256,X,A,0.999952563231970,1.4800,
256,X,X,1.000000000000000,0,
509,S,S,1.000000000000000,0,
509,S,L,0.889099039485508,0,0.889099039485508
509,S,A,0.889099039485508,0,0.889099039485508
509,S,X,0.889099039485508,0,0.889099039485508
509,L,S,0.899915146520671,inf,0.899915146520671
509,L,L,1.000000000000000,0,
509,L,A,0.999685181285899,inf,0.999685181285899
509,L,X,0.900042870284983,inf,0.900042870284983
509,A,S,0.900198545869317,inf,0.900198545869317
509,A,L,0.999863505313564,0.2362,
509,A,A,1.000000000000000,0,
509,A,X,0.900326309856124,inf,0.900326309856124
509,X,S,0.926693921992422,7.5430,
509,X,L,0.999981749980922,0.4426,
509,X,A,0.999978555701576,1.4793,
509,X,X,1.000000000000000,0,
1009,S,S,1.000000000000000,0,
1009,S,L,0.899929867134693,0,0.899929867134693
1009,S,A,0.899929867134693,0,0.899929867134693
1009,S,X,0.899929867134693,0,0.899929867134693
1009,L,S,0.908914621282271,inf,0.908914621282271
1009,L,L,1.000000000000000,0,
1009,L,A,0.999856803752925,inf,0.999856803752925
1009,L,X,0.908973826645651,inf,0.908973826645651
1009,A,S,0.909044793085063,inf,0.909044793085063
1009,A,L,0.999933965545803,0.2250,
1009,A,A,1.000000000000000,0,
1009,A,X,0.909104006927644,inf,0.909104006927644
1009,X,S,0.930889415082758,8.3281,
1009,X,L,0.999991702926659,0.4426,
1009,X,A,0.999990201529843,1.4788,
1009,X,X,1.000000000000000,0,
