curve_id,e_numerator,e_denominator,d_numerator,d_denominator,formula,point_count,n_values,in_minimum_cover
e_p41_65__d_p44_65,41,65,44,65,c_n = 41/65 - (44/65)/n,2,9 74,False
e_p41_65__d_p9_13,41,65,9,13,c_n = 41/65 - (9/13)/n,1,55,False
e_p41_65__d_p46_65,41,65,46,65,c_n = 41/65 - (46/65)/n,1,36,False
e_p41_65__d_p47_65,41,65,47,65,c_n = 41/65 - (47/65)/n,2,17 82,False
e_p41_65__d_p48_65,41,65,48,65,c_n = 41/65 - (48/65)/n,1,63,False
e_p41_65__d_p49_65,41,65,49,65,c_n = 41/65 - (49/65)/n,1,44,False
e_p41_65__d_p10_13,41,65,10,13,c_n = 41/65 - (10/13)/n,2,25 90,False
e_p41_65__d_p51_65,41,65,51,65,c_n = 41/65 - (51/65)/n,2,6 71,False
e_p41_65__d_p4_5,41,65,4,5,c_n = 41/65 - (4/5)/n,1,52,False
e_p41_65__d_p53_65,41,65,53,65,c_n = 41/65 - (53/65)/n,2,33 98,False
e_p41_65__d_p54_65,41,65,54,65,c_n = 41/65 - (54/65)/n,2,14 79,False
e_p41_65__d_p11_13,41,65,11,13,c_n = 41/65 - (11/13)/n,1,60,False
e_p41_65__d_p56_65,41,65,56,65,c_n = 41/65 - (56/65)/n,1,41,False
e_p41_65__d_p57_65,41,65,57,65,c_n = 41/65 - (57/65)/n,2,22 87,False
e_p41_65__d_p58_65,41,65,58,65,c_n = 41/65 - (58/65)/n,2,3 68,False
e_p41_65__d_p59_65,41,65,59,65,c_n = 41/65 - (59/65)/n,1,49,False
e_p41_65__d_p12_13,41,65,12,13,c_n = 41/65 - (12/13)/n,2,30 95,False
e_p41_65__d_p61_65,41,65,61,65,c_n = 41/65 - (61/65)/n,2,11 76,False
e_p41_65__d_p62_65,41,65,62,65,c_n = 41/65 - (62/65)/n,1,57,False
e_p41_65__d_p63_65,41,65,63,65,c_n = 41/65 - (63/65)/n,1,38,False
e_p41_65__d_p64_65,41,65,64,65,c_n = 41/65 - (64/65)/n,2,19 84,False
e_p53_84__d_p1_84,53,84,1,84,c_n = 53/84 - (1/84)/n,1,65,False
e_p53_84__d_p1_42,53,84,1,42,c_n = 53/84 - (1/42)/n,1,46,False
e_p53_84__d_p1_28,53,84,1,28,c_n = 53/84 - (1/28)/n,1,27,False
e_p53_84__d_p1_21,53,84,1,21,c_n = 53/84 - (1/21)/n,2,8 92,False
e_p53_84__d_p5_84,53,84,5,84,c_n = 53/84 - (5/84)/n,1,73,False
