genus,partitions,pairs,dominance_comparable,incomparable,crossing_pairs,cycles,closest_approach
1,1,0,0,0,0,0,inf
2,2,1,1,0,0,0,inf
12,711111,642,3.0,-2.0,1.0793630131,0
12,711111,6411,2.0,0.0,0.7611066176,0
12,711111,633,3.0,0.0,1.0400959935,0
12,711111,6321,2.0,4.0,0.5663058659,1
12,711111,63111,1.0,6.0,0.1393278729,1
12,711111,6222,2.0,6.0,0.3959489475,1
12,711111,62211,1.0,8.0,-0.0504657607,1
12,711111,552,3.0,0.0,1.0781419787,0
12,711111,5511,2.0,2.0,0.7579862252,1
12,711111,543,3.0,4.0,1.0190433985,1
12,711111,5421,2.0,8.0,0.4426134842,1
12,711111,54111,1.0,10.0,-0.0134051055,1
12,711111,5331,2.0,10.0,0.3375448223,1
12,711111,5322,2.0,12.0,0.1434514745,1
12,711111,53211,1.0,14.0,-0.3198445664,1
12,711111,52221,1.0,16.0,-0.4967262223,1
12,711111,444,3.0,6.0,0.9782204584,1
12,711111,4431,2.0,12.0,0.2563809732,1
12,711111,4422,2.0,14.0,0.0587855027,1
12,711111,44211,1.0,16.0,-0.4075030840,1
12,711111,4332,2.0,16.0,-0.0525762974,1
12,711111,43311,1.0,18.0,-0.5208155568,1
12,711111,43221,1.0,20.0,-0.6983003124,1
12,711111,42222,1.0,22.0,-0.8686230862,1
12,711111,3333,2.0,18.0,-0.1653189544,1
12,711111,33321,1.0,22.0,-0.8123591481,1
12,711111,33222,1.0,24.0,-0.9831973101,1
12,6411,633,1.0,0.0,0.2963641297,0
12,6411,552,1.0,0.0,0.3189601952,0
12,6411,543,1.0,4.0,0.1980674677,1
12,6411,444,1.0,6.0,0.1163654324,1
12,633,552,0.0,0.0,0.0776445436,0
12,633,5511,-1.0,2.0,-0.2964663511,0
12,6321,552,1.0,-4.0,0.5376139324,0
12,6321,5511,0.0,-2.0,0.2467278428,0
12,6321,543,1.0,0.0,0.4439739707,0
12,6321,444,1.0,2.0,0.4221920161,1
12,63111,6222,1.0,0.0,0.2332239775,0
12,63111,552,2.0,-6.0,0.8396885812,0
12,63111,5511,1.0,-4.0,0.5376139324,0
12,63111,543,2.0,-2.0,0.7612470390,0
12,63111,5421,1.0,2.0,0.2941661631,1
12,63111,5331,1.0,4.0,0.1980674677,1
12,63111,5322,1.0,6.0,0.0080001812,1
12,63111,444,2.0,0.0,0.7516543993,0
12,63111,4431,1.0,6.0,0.1163654324,1
12,63111,4422,1.0,8.0,-0.0792665569,1
12,63111,4332,1.0,10.0,-0.1930277062,1
12,63111,3333,1.0,12.0,-0.3080608680,1
12,6222,552,1.0,-6.0,0.7037404315,0
12,6222,5511,0.0,-4.0,0.4161018814,0
12,6222,543,1.0,-2.0,0.5929891152,0
12,6222,5421,0.0,2.0,0.0916900195,1
12,6222,54111,-1.0,4.0,-0.2335886585,0
12,6222,5331,0.0,4.0,-0.0495400173,1
12,6222,444,1.0,0.0,0.5746979513,0
12,6222,4431,0.0,6.0,-0.1404959551,1
12,62211,552,2.0,-8.0,1.0011354270,0
12,62211,5511,1.0,-6.0,0.7037404315,0
12,62211,543,2.0,-4.0,0.9053524103,0
12,62211,5421,1.0,0.0,0.4439739707,0
12,62211,54111,0.0,2.0,0.0916900195,1
12,62211,5331,1.0,2.0,0.3870341140,1
12,62211,5322,1.0,4.0,0.1980674677,1
12,62211,444,2.0,-2.0,0.8900681725,0
12,62211,4431,1.0,4.0,0.3256395921,1
12,62211,4422,1.0,6.0,0.1163654324,1
12,62211,4332,1.0,8.0,0.0021925552,1
12,62211,3333,1.0,10.0,-0.1136926113,1
12,621111,552,3.0,-10.0,1.3049629611,0
12,621111,5511,2.0,-8.0,1.0011354270,0
12,621111,543,3.0,-6.0,1.2199885889,0
12,621111,5421,2.0,-2.0,0.7612470390,0
12,621111,54111,1.0,0.0,0.4439739707,0
